comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-03-normal-20,entity-03-normal,20,0x66a50098429899aaef57ba7ff8edd5070d65141edf22111e1d26e26a375ffde8,,,91,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-20,entity-04-normal,20,0xfdf58ebace3be60cfca83db3597d077f29ac694240969bbb4bcfcc52529887d7,,,92,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-20,entity-05-suspicious,20,0x52290b2d61876c067a76a56d17bccc986f5b303e4d20bbac44f911bbe1c69882,,,62,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-20,entity-06-suspicious,20,0x1b076e576582f512d3217dd68cf44c1923b259a119525da3cc925910b970b955,,,63,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-21,entity-01-normal,21,0x3e961f53a4dfcdc0dae333713b2c972eab1a7a4757815794f62e9e8e46ef2c6e,,,91,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-21,entity-02-normal,21,0x1e7a4be2e61c4d4944275950efb1cca3c67e83a32da9e2186ca0c086e6e1d639,,,89,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-21,entity-03-normal,21,0x67710c9125a26222a2c5fd376cdd0ab7a0b8f0e452a8ea65c46ff0be7b156d12,,,91,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-21,entity-04-normal,21,0x128cda6b155720d096421b46aeae17664cf2f5222ac8d0f1548a66379b220bc5,,,91,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-21,entity-05-suspicious,21,0x9a90050ca28f1498486b2e3deaf2ea1d1dd5bf8fcba5a3e4c20adb4e038b80d1,,,63,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-21,entity-06-suspicious,21,0xd4df1c5e1258e7c86788ebdf2329847a2482e388871d8acd11025928ad7db85d,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-22,entity-01-normal,22,0x20de2809859b1fed115d7d6f894d4d1222d8e05011cf1fdc49221589f143b729,,,91,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-22,entity-02-normal,22,0x09c5de08ea5623f3f9fd2bb137611a1fd26dbdad6511f01a2dcad7d783192f07,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-22,entity-03-normal,22,0x9971f413fb0dc0f824cc8c9039b65ee2659090dc8c8adac35238b80546821e22,,,92,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-22,entity-04-normal,22,0x38ddb717888a77968d277fcaeb78c3142c99479b267d6c242dfc691aee608f91,,,91,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-22,entity-05-suspicious,22,0x41d74794bf437bee7cc103015e61c2d96fce43105c089d2e21bc9705cc550d7a,,,61,Suspicious,,,true,,,,B live result matches expected state
